team,barrels,r_plus_rbi,xwoba,ev90,chase_rate,sb,k,xfip,whiff_rate,barrel_rate_allowed,qs
Team 01,160.0,312.0,0.42641123558081645,103.21408035714286,0.26782788613003083,0.0,498.0,3.3018274552823943,0.2800085847903451,0.04097189137684609,31.0
Team 02,156.0,283.0,0.4466842784301553,103.66144767173813,0.2392062614849034,0.0,479.0,2.7298444072408437,0.3090099021239735,0.03919239904988116,23.0
Team 03,157.0,291.0,0.4355610469807049,104.15678222222223,0.27988984263438604,0.0,478.0,3.133011429774859,0.25637222151565653,0.03772683858643738,34.0
Team 04,154.0,291.0,0.43526562675500047,104.52038330494038,0.30414186346397726,0.0,478.0,3.2418564200225735,0.267530910010649,0.0325538743695552,37.0
Team 05,156.0,300.0,0.4575474912738788,104.30436154949784,0.29774695296079345,0.0,474.0,2.881847321020635,0.2987074639139078,0.0390355912743972,23.0
Team 06,156.0,324.0,0.45312008231144063,104.16310670868977,0.2696965670059438,0.0,472.0,3.2339208761917986,0.2604065668273959,0.041646251837334586,29.0
Team 07,157.0,324.0,0.44023397268560605,103.26057167985928,0.27526737943404134,0.0,472.0,3.2927968379794343,0.2294294882443728,0.041932543299908795,27.0
Team 08,156.0,299.0,0.4620171236838221,103.98425093632959,0.22986014655367193,0.0,472.0,3.392588039252171,0.24116627202432672,0.03664252236898161,41.0
Team 09,155.0,269.0,0.43988362456805613,103.3719658886894,0.287699143254118,0.0,471.0,3.2969373414273684,0.25243960107935015,0.04295942720763717,28.0
Team 10,154.0,305.0,0.42650264950525,103.62787621873676,0.23387145896076023,0.0,471.0,3.1064029322338915,0.27779445369048333,0.041254125412541205,16.0
